id;date;vaccines;tests;confirmed;recovered;deaths;hosp;vent;icu;population;school_closing;workplace_closing;cancel_events;gatherings_restrictions;transport_closing;stay_home_restrictions;internal_movement_restrictions;international_movement_restrictions;information_campaigns;testing_policy;contact_tracing;stringency_index;iso_alpha_3;iso_alpha_2;iso_numeric;currency;administrative_area_level;administrative_area_level_1;administrative_area_level_2;administrative_area_level_3;latitude;longitude;key;key_apple_mobility;key_google_mobility
AUT;17/05/2021;4187780;36531447;633257;606205;10327;624;;290;8840521;2;2;2;4;1;0;2;3;2;3;2;6574;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;18/05/2021;4258223;36840818;634101;607925;10339;600;;278;8840521;2;2;2;4;1;0;2;3;2;3;2;6574;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;19/05/2021;4364778;37237382;634713;609256;10341;563;;266;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;20/05/2021;4476659;37626034;635375;610687;10347;518;;249;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;21/05/2021;4589098;38050186;635944;611979;10357;463;;234;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;22/05/2021;4648624;38529537;636454;613108;10364;406;;237;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;23/05/2021;4678241;38877709;636804;613990;10373;386;;237;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;24/05/2021;4703364;39089224;637211;614858;10378;368;;224;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;25/05/2021;4758925;39471518;637696;615945;10384;383;;220;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;26/05/2021;4852421;39914510;638305;616784;10393;349;;198;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;27/05/2021;4952468;40456838;638842;617660;10399;318;;192;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;28/05/2021;5063492;40789126;639265;618447;10407;285;;171;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;29/05/2021;5126338;41224239;639650;619267;10412;273;;163;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;30/05/2021;5164696;41563724;639976;619931;10417;264;;149;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;31/05/2021;5209019;41776209;640335;620614;10421;258;;152;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;01/06/2021;5300519;42122549;640824;621463;10427;268;;147;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;02/06/2021;5444603;43048076;641129;622081;10433;266;;136;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;03/06/2021;5513522;43729103;641479;622635;10437;245;;128;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;04/06/2021;5623372;44110345;641764;623122;10439;247;;115;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;05/06/2021;5686686;44858994;642089;623676;10443;288;;150;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;06/06/2021;5740327;45278379;642401;624035;10448;284;;144;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;07/06/2021;5798382;45570994;642709;624531;10452;280;;146;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;08/06/2021;5890512;45983005;643065;625140;10456;275;;127;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;09/06/2021;6008362;46426166;643352;625622;10460;248;;122;8840521;2;2;2;4;1;0;2;3;2;3;2;6852;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;10/06/2021;6130400;46942669;643578;626093;10460;244;;113;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;11/06/2021;6262027;47268180;643776;626517;10463;229;;97;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;12/06/2021;6331762;47725434;643983;626967;10467;217;;99;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;13/06/2021;6369613;48145979;644086;627279;10470;219;;99;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;14/06/2021;6418885;48458730;644233;627681;10472;208;;98;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;15/06/2021;6505886;48813163;644413;628047;10475;205;;94;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;16/06/2021;6626567;49167859;644584;628386;10476;188;;92;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;17/06/2021;6742197;49693906;644715;628776;10478;185;;86;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;18/06/2021;6855476;50183597;644864;629132;10482;175;;84;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;19/06/2021;6922546;50663929;644972;629432;10484;164;;83;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;20/06/2021;6959640;51082866;645087;629652;10485;164;;84;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;21/06/2021;7012259;51457883;645189;629866;10487;164;;80;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;22/06/2021;7104465;52163509;645305;630160;10487;169;;73;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;23/06/2021;7216916;52553372;645404;630336;10490;157;;70;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;24/06/2021;7326773;52844278;645512;630559;10493;146;;71;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;25/06/2021;7449347;53295938;645629;630733;10493;127;;68;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
AUT;26/06/2021;7526775;53713546;645695;630898;10495;128;;73;8840521;2;2;2;4;1;0;0;3;2;3;2;6019;AUT;AT;40;EUR;1;Austria;;;475162;145501;;Austria;AT
