Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,6046.729980,6157.660156,6046.729980,6128.549805,6128.549805,19350900
2020-07-07,6128.620117,6160.520020,6080.180176,6141.689941,6141.689941,16326600
2020-07-08,6142.419922,6145.330078,6031.060059,6038.759766,6038.759766,18524700
2020-07-09,6044.299805,6088.410156,5961.600098,5972.939941,5972.939941,21194100
2020-07-10,5969.919922,6053.870117,5934.140137,6053.419922,6053.419922,21271200
2020-07-13,6054.479980,6133.899902,6048.879883,6094.720215,6094.720215,17369500
2020-07-14,6094.720215,6094.720215,5980.500000,6090.140137,6090.140137,22061500
2020-07-15,6091.180176,6288.930176,6091.180176,6264.189941,6264.189941,23353100
2020-07-16,6262.049805,6277.500000,6182.060059,6261.810059,6261.810059,22030300
2020-07-17,6261.810059,6268.830078,6206.220215,6221.250000,6221.250000,37383000
2020-07-20,6220.970215,6265.729980,6163.319824,6265.729980,6265.729980,12371200
2020-07-21,6266.250000,6330.290039,6266.250000,6303.669922,6303.669922,34069100
2020-07-22,6312.500000,6318.330078,6221.029785,6265.560059,6265.560059,46967800
2020-07-23,6267.149902,6291.700195,6238.930176,6273.200195,6273.200195,21092200
2020-07-24,6263.629883,6263.629883,6136.970215,6192.830078,6192.830078,14803500
2020-07-27,6200.879883,6200.879883,6101.419922,6155.450195,6155.450195,19013400
2020-07-28,6155.589844,6243.620117,6155.589844,6225.700195,6225.700195,18791700
2020-07-29,6225.200195,6225.200195,6164.089844,6220.640137,6220.640137,15351900
2020-07-30,6219.660156,6238.890137,6060.799805,6139.000000,6139.000000,21774200
2020-07-31,6139.000000,6209.390137,6091.540039,6099.589844,6099.589844,27019800
2020-08-03,6099.529785,6223.879883,6056.200195,6220.970215,6220.970215,16580500
2020-08-04,6220.240234,6266.220215,6133.569824,6180.779785,6180.779785,21491400
2020-08-05,6184.390137,6264.560059,6184.390137,6262.660156,6262.660156,40552000
2020-08-06,6262.839844,6270.250000,6186.529785,6233.540039,6233.540039,24222800
2020-08-07,6230.589844,6293.779785,6185.359863,6278.259766,6278.259766,23257200
2020-08-10,6278.410156,6332.350098,6278.410156,6288.549805,6288.549805,15796900
2020-08-11,6295.950195,6445.830078,6295.950195,6433.399902,6433.399902,31677700
2020-08-12,6432.640137,6496.229980,6376.319824,6487.250000,6487.250000,37706800
2020-08-13,6487.240234,6487.240234,6428.189941,6457.270020,6457.270020,22436200
2020-08-14,6464.200195,6464.200195,6319.209961,6380.310059,6380.310059,23281100
2020-08-17,6379.930176,6379.930176,6274.299805,6346.799805,6346.799805,12679600
2020-08-18,6345.740234,6381.759766,6293.209961,6350.080078,6350.080078,15325600
2020-08-19,6347.810059,6385.220215,6332.359863,6379.029785,6379.029785,14869600
2020-08-20,6378.819824,6399.759766,6245.979980,6283.339844,6283.339844,17984000
2020-08-21,6283.450195,6398.479980,6282.979980,6398.479980,6398.479980,16200200
2020-08-24,6400.279785,6488.049805,6400.279785,6460.879883,6460.879883,13803800
2020-08-25,6461.180176,6532.439941,6461.180176,6469.009766,6469.009766,21459200
2020-08-26,6468.850098,6579.620117,6425.879883,6579.620117,6579.620117,13578400
2020-08-27,6574.830078,6626.979980,6536.850098,6536.850098,6536.850098,18219600
2020-08-28,6538.140137,6583.209961,6486.509766,6505.009766,6505.009766,21637700
2020-08-31,6523.049805,6552.250000,6434.439941,6434.439941,6434.439941,15318600
2020-09-01,6434.750000,6468.819824,6340.509766,6402.390137,6402.390137,24445100
2020-09-02,6391.319824,6471.890137,6360.689941,6375.240234,6375.240234,19283500
2020-09-03,6385.680176,6454.299805,6290.209961,6294.709961,6294.709961,33794800
2020-09-04,6287.319824,6386.859863,6228.549805,6292.390137,6292.390137,31313500
2020-09-07,6292.890137,6337.890137,6291.359863,6313.439941,6313.439941,13081400
2020-09-08,6313.439941,6322.569824,6205.209961,6283.580078,6283.580078,21594100
2020-09-09,6283.580078,6361.629883,6222.450195,6354.259766,6354.259766,18804800
2020-09-10,6354.560059,6389.479980,6311.470215,6342.569824,6342.569824,16282300
2020-09-11,6351.339844,6374.479980,6310.459961,6369.160156,6369.160156,20475800
2020-09-14,6369.160156,6423.620117,6369.160156,6399.879883,6399.879883,17836300
2020-09-15,6401.189941,6539.649902,6401.189941,6533.950195,6533.950195,17184400
2020-09-16,6533.950195,6595.540039,6516.879883,6592.919922,6592.919922,29807700
2020-09-17,6577.759766,6591.450195,6533.410156,6564.770020,6564.770020,27214300
2020-09-18,6562.209961,6574.779785,6484.830078,6486.270020,6486.270020,50551400
2020-09-21,6472.919922,6472.919922,6223.660156,6253.799805,6253.799805,35205300
2020-09-22,6253.799805,6281.129883,6173.359863,6228.729980,6228.729980,29262700
2020-09-23,6228.240234,6368.540039,6228.240234,6289.399902,6289.399902,39777100
2020-09-24,6286.470215,6286.470215,6190.810059,6239.000000,6239.000000,35442500
2020-09-25,6239.000000,6309.220215,6124.859863,6309.220215,6309.220215,22818900
2020-09-28,6310.189941,6450.770020,6310.189941,6417.930176,6417.930176,23741600
2020-09-29,6418.290039,6430.689941,6342.919922,6380.779785,6380.779785,19057400
2020-09-30,6362.580078,6407.459961,6305.209961,6380.899902,6380.899902,24124800
2020-10-01,6381.560059,6426.910156,6350.520020,6398.879883,6398.879883,26136500
2020-10-02,6398.160156,6398.160156,6300.299805,6386.069824,6386.069824,22640600
2020-10-05,6386.470215,6464.589844,6386.470215,6431.100098,6431.100098,19756900
2020-10-06,6431.049805,6534.819824,6431.049805,6530.370117,6530.370117,28810600
2020-10-07,6500.839844,6625.830078,6499.810059,6621.919922,6621.919922,37914800
2020-10-08,6622.000000,6706.750000,6621.299805,6683.580078,6683.580078,649773700
2020-10-09,6679.680176,6715.160156,6655.830078,6688.069824,6688.069824,27316600
2020-10-12,6688.189941,6772.930176,6679.240234,6741.160156,6741.160156,17098300
2020-10-13,6741.160156,6752.040039,6664.370117,6687.089844,6687.089844,21546800
2020-10-14,6689.729980,6729.160156,6647.990234,6699.910156,6699.910156,19741400
2020-10-15,6697.790039,6697.790039,6538.100098,6587.919922,6587.919922,25214900
